,Time,T_comp(ºC),T_evap (ºC),T_cond (ºC),Tint-Text (ºC),T_air,T_ext,T_int
0,2019-01-15 07:00:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
1,2019-01-15 07:00:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
2,2019-01-15 07:00:12,44.5054761904762,33.53261904761905,8.334047619047624,10.0,54.5054761904762,18.334047619047624,43.53261904761905
3,2019-01-15 07:00:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
4,2019-01-15 07:00:24,41.4945238095238,33.53261904761905,5.665952380952376,10.0,51.4945238095238,15.665952380952376,43.53261904761905
5,2019-01-15 07:00:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
6,2019-01-15 07:00:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
7,2019-01-15 07:00:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
8,2019-01-15 07:00:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
9,2019-01-15 07:00:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
10,2019-01-15 07:01:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
11,2019-01-15 07:01:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
12,2019-01-15 07:01:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
13,2019-01-15 07:01:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
14,2019-01-15 07:01:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
15,2019-01-15 07:01:30,41.4945238095238,36.46738095238095,5.665952380952376,10.0,51.4945238095238,15.665952380952376,46.46738095238095
16,2019-01-15 07:01:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
17,2019-01-15 07:01:42,41.4945238095238,33.53261904761905,5.665952380952376,10.0,51.4945238095238,15.665952380952376,43.53261904761905
18,2019-01-15 07:01:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
19,2019-01-15 07:01:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
20,2019-01-15 07:02:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
21,2019-01-15 07:02:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
22,2019-01-15 07:02:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
23,2019-01-15 07:02:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
24,2019-01-15 07:02:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
25,2019-01-15 07:02:30,41.4945238095238,36.46738095238095,5.665952380952376,10.0,51.4945238095238,15.665952380952376,46.46738095238095
26,2019-01-15 07:02:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
27,2019-01-15 07:02:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
28,2019-01-15 07:02:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
29,2019-01-15 07:02:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
30,2019-01-15 07:03:00,39.98904761904765,37.9347619047619,4.331904761904752,10.0,49.98904761904765,14.331904761904752,47.9347619047619
31,2019-01-15 07:03:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
32,2019-01-15 07:03:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
33,2019-01-15 07:03:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
34,2019-01-15 07:03:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
35,2019-01-15 07:03:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
36,2019-01-15 07:03:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
37,2019-01-15 07:03:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
38,2019-01-15 07:03:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
39,2019-01-15 07:03:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
40,2019-01-15 07:04:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
41,2019-01-15 07:04:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
42,2019-01-15 07:04:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
43,2019-01-15 07:04:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
44,2019-01-15 07:04:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
45,2019-01-15 07:04:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
46,2019-01-15 07:04:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
47,2019-01-15 07:04:42,44.5054761904762,36.46738095238095,8.334047619047624,10.0,54.5054761904762,18.334047619047624,46.46738095238095
48,2019-01-15 07:04:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
49,2019-01-15 07:04:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
50,2019-01-15 07:05:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
51,2019-01-15 07:05:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
52,2019-01-15 07:05:12,46.0109523809524,37.9347619047619,9.668095238095248,10.0,56.0109523809524,19.668095238095248,47.9347619047619
53,2019-01-15 07:05:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
54,2019-01-15 07:05:24,44.5054761904762,36.46738095238095,5.665952380952376,10.0,54.5054761904762,15.665952380952376,46.46738095238095
55,2019-01-15 07:05:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
56,2019-01-15 07:05:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
57,2019-01-15 07:05:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
58,2019-01-15 07:05:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
59,2019-01-15 07:05:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
60,2019-01-15 07:06:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
61,2019-01-15 07:06:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
62,2019-01-15 07:06:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
63,2019-01-15 07:06:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
64,2019-01-15 07:06:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
65,2019-01-15 07:06:30,44.5054761904762,36.46738095238095,8.334047619047624,10.0,54.5054761904762,18.334047619047624,46.46738095238095
66,2019-01-15 07:06:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
67,2019-01-15 07:06:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
68,2019-01-15 07:06:48,44.5054761904762,36.46738095238095,5.665952380952376,10.0,54.5054761904762,15.665952380952376,46.46738095238095
69,2019-01-15 07:06:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
70,2019-01-15 07:07:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
71,2019-01-15 07:07:06,44.5054761904762,33.53261904761905,8.334047619047624,10.0,54.5054761904762,18.334047619047624,43.53261904761905
72,2019-01-15 07:07:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
73,2019-01-15 07:07:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
74,2019-01-15 07:07:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
75,2019-01-15 07:07:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
76,2019-01-15 07:07:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
77,2019-01-15 07:07:42,41.4945238095238,33.53261904761905,5.665952380952376,10.0,51.4945238095238,15.665952380952376,43.53261904761905
78,2019-01-15 07:07:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
79,2019-01-15 07:07:54,41.4945238095238,33.53261904761905,8.334047619047624,10.0,51.4945238095238,18.334047619047624,43.53261904761905
80,2019-01-15 07:08:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
81,2019-01-15 07:08:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
82,2019-01-15 07:08:12,44.5054761904762,36.46738095238095,8.334047619047624,10.0,54.5054761904762,18.334047619047624,46.46738095238095
83,2019-01-15 07:08:18,44.5054761904762,33.53261904761905,5.665952380952376,10.0,54.5054761904762,15.665952380952376,43.53261904761905
84,2019-01-15 07:08:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
85,2019-01-15 07:08:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
86,2019-01-15 07:08:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
87,2019-01-15 07:08:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
88,2019-01-15 07:08:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
89,2019-01-15 07:08:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
90,2019-01-15 07:09:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
91,2019-01-15 07:09:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
92,2019-01-15 07:09:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
93,2019-01-15 07:09:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
94,2019-01-15 07:09:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
95,2019-01-15 07:09:30,44.5054761904762,33.53261904761905,8.334047619047624,10.0,54.5054761904762,18.334047619047624,43.53261904761905
96,2019-01-15 07:09:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
97,2019-01-15 07:09:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
98,2019-01-15 07:09:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
99,2019-01-15 07:09:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
100,2019-01-15 07:10:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
101,2019-01-15 07:10:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
102,2019-01-15 07:10:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
103,2019-01-15 07:10:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
104,2019-01-15 07:10:24,41.4945238095238,33.53261904761905,8.334047619047624,10.0,51.4945238095238,18.334047619047624,43.53261904761905
105,2019-01-15 07:10:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
106,2019-01-15 07:10:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
107,2019-01-15 07:10:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
108,2019-01-15 07:10:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
109,2019-01-15 07:10:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
110,2019-01-15 07:11:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
111,2019-01-15 07:11:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
112,2019-01-15 07:11:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
113,2019-01-15 07:11:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
114,2019-01-15 07:11:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
115,2019-01-15 07:11:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
116,2019-01-15 07:11:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
117,2019-01-15 07:11:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
118,2019-01-15 07:11:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
119,2019-01-15 07:11:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
120,2019-01-15 07:12:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
121,2019-01-15 07:12:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
122,2019-01-15 07:12:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
123,2019-01-15 07:12:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
124,2019-01-15 07:12:24,44.5054761904762,36.46738095238095,8.334047619047624,10.0,54.5054761904762,18.334047619047624,46.46738095238095
125,2019-01-15 07:12:30,44.5054761904762,33.53261904761905,8.334047619047624,10.0,54.5054761904762,18.334047619047624,43.53261904761905
126,2019-01-15 07:12:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
127,2019-01-15 07:12:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
128,2019-01-15 07:12:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
129,2019-01-15 07:12:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
130,2019-01-15 07:13:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
131,2019-01-15 07:13:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
132,2019-01-15 07:13:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
133,2019-01-15 07:13:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
134,2019-01-15 07:13:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
135,2019-01-15 07:13:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
136,2019-01-15 07:13:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
